ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
T,415,2024-01-02,2025-08-27,29.06,68.46376811594202,daily_data_t_complete.csv
PDD,415,2024-01-02,2025-08-27,122.22,-16.08074704751441,daily_data_pdd_complete.csv
OSCR,415,2024-01-02,2025-08-27,17.02,87.03296703296704,daily_data_oscr_complete.csv
ADT,415,2024-01-02,2025-08-27,8.76,24.964336661911556,daily_data_adt_complete.csv
OPAD,415,2024-01-02,2025-08-27,3.36,-65.88832487309645,daily_data_opad_complete.csv
BBAI,415,2024-01-02,2025-08-27,5.13,156.5,daily_data_bbai_complete.csv
AFRM,415,2024-01-02,2025-08-27,77.59,66.50214592274679,daily_data_afrm_complete.csv
F,415,2024-01-02,2025-08-27,11.91,-2.055921052631582,daily_data_f_complete.csv
VEA,415,2024-01-02,2025-08-27,58.77,24.065864471184305,daily_data_vea_complete.csv
INTC,415,2024-01-02,2025-08-27,24.85,-48.012552301255226,daily_data_intc_complete.csv
JNJ,415,2024-01-02,2025-08-27,176.79,10.514471463399389,daily_data_jnj_complete.csv
FL,415,2024-01-02,2025-08-27,26.47,-14.253320375769363,daily_data_fl_complete.csv
EFA,415,2024-01-02,2025-08-27,91.68,23.043886726613884,daily_data_efa_complete.csv
MSFT,415,2024-01-02,2025-08-27,506.74,36.63547873918085,daily_data_msft_complete.csv
ABEV,415,2024-01-02,2025-08-27,2.21,-19.92753623188406,daily_data_abev_complete.csv
TOST,415,2024-01-02,2025-08-27,43.86,142.8571428571429,daily_data_tost_complete.csv
EEM,415,2024-01-02,2025-08-27,49.91,25.591343734272765,daily_data_eem_complete.csv
UNIT,415,2024-01-02,2025-08-27,6.63,12.755102040816336,daily_data_unit_complete.csv
IEMG,415,2024-01-02,2025-08-27,62.15,24.42442442442441,daily_data_iemg_complete.csv
LYFT,415,2024-01-02,2025-08-27,16.25,17.753623188405786,daily_data_lyft_complete.csv
TSM,415,2024-01-02,2025-08-27,239.29,135.68403427558357,daily_data_tsm_complete.csv
IQ,415,2024-01-02,2025-08-27,2.36,-50.83333333333333,daily_data_iq_complete.csv
OKTA,415,2024-01-02,2025-08-27,93.03,6.9310344827586245,daily_data_okta_complete.csv
EXC,415,2024-01-02,2025-08-27,44.39,21.716479298053205,daily_data_exc_complete.csv
RF,415,2024-01-02,2025-08-27,27.41,40.56410256410257,daily_data_rf_complete.csv
WFC,415,2024-01-02,2025-08-27,82.5,67.24102979931077,daily_data_wfc_complete.csv
VICI,415,2024-01-02,2025-08-27,33.75,3.3374157991426845,daily_data_vici_complete.csv
