ticker,training_return,testing_return,training_win_rate,testing_win_rate,avg_performance,consistency_score
GAP,9.486324714150761,-5.321924818484769,60.0,33.33333333333333,2.0821999478329962,0.6013749945694431
JBLU,-15.082952756742873,-5.666430812248546,40.0,33.33333333333333,-10.37469178449571,-11.316343978945142
TSLY,-11.088303065998828,-6.076258179127891,40.0,66.66666666666666,-8.58228062256336,-9.083485111250454
SPXU,-19.62593179228872,-6.59749484891411,40.0,0.0,-13.111713320601416,-14.414557014938877
INFY,2.9919231605919805,-6.697201994144897,40.0,33.33333333333333,-1.8526394167764582,-2.821551932250146
SPXS,-19.58892028570719,-6.957569804150943,40.0,0.0,-13.273245044929066,-14.536380093084691
HLN,5.900331657200919,-7.384886059339502,60.0,0.0,-0.7422772010692915,-2.070798972723334
ERIC,10.871627401949846,-7.9618910533937655,80.0,33.33333333333333,1.4548681742780403,-0.4284836712563209
NVDD,-18.696161548435708,-8.310445803171918,40.0,0.0,-13.503303675803814,-14.541875250330193
TSLS,5.723654464579342,-8.330773532107383,60.0,33.33333333333333,-1.3035595337640205,-2.709002333432693
PATH,16.560280555784026,-8.359722949875337,80.0,33.33333333333333,4.100278802954344,1.608278452388408
KMI,4.014625369878533,-8.664490304641781,60.0,0.0,-2.324932467381624,-3.5928440348336554
CFLT,-4.056850337130702,-8.750453915033418,60.0,33.33333333333333,-6.40365212608206,-6.873012483872332
GDXD,-59.78990792645582,-9.12306408892275,20.0,66.66666666666666,-34.456486007689286,-39.52317039144259
LYFT,21.423795739725303,-9.152016405943208,60.0,33.33333333333333,6.135889666891048,3.0783084523241966
CNC,1.1949694159799629,-9.305076247218624,80.0,33.33333333333333,-4.05505341561933,-5.105057981939189
UNIT,-17.577473274481648,-9.65010479234165,40.0,33.33333333333333,-13.61378903341165,-14.40652588162565
SQQQ,-26.150005825707858,-9.82609723424278,40.0,0.0,-17.98805152997532,-19.620442389121827
PBR,1.7371996700497716,-9.846022101405405,40.0,0.0,-4.054411215677817,-5.212733392823335
KVUE,2.5403466704326583,-10.117810446357446,60.0,33.33333333333333,-3.7887318879623937,-5.054547599641404
JDST,-47.166376459539514,-11.891355927253821,20.0,33.33333333333333,-29.528866193396667,-33.05636824662523
TOST,14.464866469334957,-11.985221901357079,60.0,33.33333333333333,1.2398222839889392,-1.4051865530802647
S,-1.6488108785718825,-12.010914749323465,60.0,33.33333333333333,-6.829862813947674,-7.866073201022832
BBAI,-14.678472699798583,-12.179883505255296,40.0,0.0,-13.42917810252694,-13.67903702198127
WBD,-6.23949659242935,-12.529198757940119,20.0,33.33333333333333,-9.384347675184735,-10.013317891735811
RGTI,-62.991105128716775,-13.050974765332857,60.0,33.33333333333333,-38.02103994702482,-43.01505298336321
PCG,-11.84536870467049,-13.637318001379429,60.0,33.33333333333333,-12.74134335302496,-12.920538282695853
SMCI,44.89979934748878,-14.241231512071717,80.0,66.66666666666666,15.329283917708532,9.415180831752481
TZA,-13.656466512624032,-14.707888044471018,40.0,0.0,-14.182177278547524,-14.287319431732222
NVDQ,-39.94664293659641,-15.04695413390673,40.0,0.0,-27.49679853525157,-29.98676741552054
NVD,-40.13493513253591,-15.72014762168421,40.0,0.0,-27.92754137711006,-30.36902012819523
OKTA,48.399423272157314,-17.35710522692028,80.0,0.0,15.521159022618518,8.945506172710758
SNAP,-5.057844411708434,-18.300979824204422,40.0,66.66666666666666,-11.679412117956428,-13.003725659206026
TSLQ,-3.413814900068479,-18.73376367739833,60.0,33.33333333333333,-11.073789288733405,-12.605784166466389
TSLZ,-3.3062352325653466,-19.068451138911268,60.0,33.33333333333333,-11.187343185738307,-12.763564776372899
PLTD,-31.61435467923168,-19.395758067242596,60.0,0.0,-25.50505637323714,-26.726916034436048
UVXY,-16.88268095272527,-20.077489228934255,40.0,0.0,-18.48008509082976,-18.79956591845066
LABD,-1.8701962685246043,-20.104486324355186,60.0,33.33333333333333,-10.987341296439896,-12.810770302022954
UAA,2.0814103738155953,-21.122234011170193,60.0,66.66666666666666,-9.5204118186773,-11.840776257175879
VCIG,-34.28838204076254,-22.437430533559045,40.0,33.33333333333333,-28.362906287160794,-29.548001437881144
SOXS,-53.77812257648416,-25.942620472925594,40.0,0.0,-39.860371524704874,-42.64392173506073
UVIX,-33.18797651956419,-26.664920071442356,40.0,0.0,-29.92644829550327,-30.578753940315455
MSTZ,-39.02194102624023,-37.24979600410416,40.0,0.0,-38.13586851517219,-38.3130830173858
RAY,9.240619531445393,-38.07738889650405,20.0,66.66666666666666,-14.418384682529327,-19.15018552532427
NUKK,-65.31313423865592,-51.15016393442622,0.0,0.0,-58.23164908654107,-59.647946116964036
ETHD,-34.72344192242706,-51.964049025793216,60.0,0.0,-43.343745474110136,-45.06780618444675
