ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
RIVN,12.3229,-14.017213976377008,33.33333333333333,3,,,,9.698545074868203,66.66666666666666,3,,,,-11.25888614905084,33.33333333333333,3,,,,-7.432722600830333,0.0,2,,,
CNQ,33.525,9.334524604214511,75.0,4,15.18274447071919,100.0,2.0,10.18396273426314,75.0,4,3.139987229012764,50.0,2.0,0.23168751160087542,50.0,4,1.8678442917893223,100.0,1.0,-28.11972371967293,0.0,4,-1.0629074210847467,0.0,1.0
BEKE,18.015,14.077629265039615,75.0,4,-4.755043227665712,0.0,1.0,20.327902813335253,100.0,4,-3.9334341906202663,0.0,1.0,-3.7401971164141568,75.0,4,-3.700787401574812,0.0,1.0,-8.651117674217934,25.0,4,-1.7988552739165886,0.0,1.0
XLV,135.31,2.7270680527535562,50.0,4,-0.4967875006128386,50.0,2.0,-5.495173169156253,25.0,4,-1.1547513974698553,0.0,1.0,10.838830716094972,100.0,4,-1.6295855346379895,0.0,1.0,-6.927975907077055,25.0,4,0.4236006051437258,100.0,1.0
TLT,89.3801,-2.419553293925314,33.33333333333333,3,,,,1.4302072916665853,33.33333333333333,3,,,,1.4372584744261063,66.66666666666666,3,,,,2.8577664174594064,50.0,2,,,
PEP,130.19,-2.6633348979803295,50.0,4,-0.197074206018355,0.0,1.0,-3.974703681262881,25.0,4,0.04556846662109315,100.0,1.0,1.3181508449953805,50.0,4,-0.27328626736505823,0.0,1.0,-7.042489155285347,25.0,4,-0.8982263834970028,0.0,1.0
CORZ,10.725,-25.67259322382325,50.0,4,12.79999999999999,100.0,1.0,7.320973515609985,50.0,4,,,,-19.368443250046862,50.0,4,,,,15.702206521678397,75.0,4,,,
ERIC,8.465,9.028831798829984,75.0,4,0.7425406295816117,50.0,2.0,21.141666858891405,75.0,4,2.3880597014925176,100.0,1.0,-10.209288309935982,50.0,4,1.224489795918382,100.0,1.0,-10.081790899439868,50.0,4,-1.3824884792626668,0.0,1.0
KVUE,21.4316,1.1432624068530295,50.0,4,-8.666445110304688,50.0,2.0,1.8339466352857325,25.0,4,1.6296932016544696,50.0,2.0,12.964505554951543,75.0,4,-0.20842017507293198,0.0,1.0,-6.280429343989969,50.0,4,-1.106934001670845,0.0,1.0
NOK,5.41,12.316651822361102,75.0,4,3.4860557768924494,100.0,1.0,13.05635667134981,100.0,4,0.9624639076034613,100.0,1.0,-8.3125696813254,0.0,4,3.1458531935176337,100.0,1.0,-4.457921741968695,75.0,4,,,
IONQ,24.91,-57.21650342744622,0.0,3,,,,83.11813742166146,66.66666666666666,3,,,,-21.675251105232384,0.0,2,,,,-20.449757045433348,50.0,2,,,
IPG,23.975,2.6217924446351404,50.0,4,2.1081818733752256,100.0,2.0,-6.685330092792863,50.0,4,1.0803679717298342,50.0,2.0,8.524757375918757,75.0,4,-1.9401266181125587,50.0,2.0,-16.831077297480903,25.0,4,-6.516853932584277,0.0,1.0
NCLH,19.215,-13.963096103231354,25.0,4,10.244604316546768,100.0,1.0,14.082041376407894,75.0,4,,,,0.053022678766567743,50.0,4,,,,-24.76544192262401,25.0,4,,,
ACHR,8.71,-30.929846578420918,33.33333333333333,3,,,,51.631047916090345,100.0,3,,,,-26.318555736645667,0.0,2,,,,-5.610458427407483,50.0,2,,,
KMI,28.19,2.4416667794372016,50.0,4,1.5997023809523725,100.0,1.0,10.56988116502129,50.0,4,2.5631636763090437,100.0,1.0,-5.610898801839892,50.0,4,0.6783291681542236,100.0,1.0,-9.171197756451866,50.0,4,1.6134751773049683,100.0,1.0
SBUX,86.165,-3.1284405009025296,75.0,4,4.935096742591227,100.0,1.0,-1.7637075878728425,50.0,4,-1.2603571011786663,0.0,1.0,2.619263606924349,75.0,4,1.837844226450791,100.0,1.0,-12.482189111767461,50.0,4,,,
GAP,21.88,1.2184860106457585,50.0,4,8.415300546448101,100.0,1.0,-0.028204810854703943,50.0,4,12.661290322580655,100.0,1.0,14.060964333590341,50.0,4,1.717967072297788,100.0,1.0,-13.539013525523213,25.0,4,-21.07670654468685,0.0,1.0
PFE,22.46,-0.18500037734221486,33.33333333333333,3,,,,-4.053588392604734,0.0,3,,,,5.6262899787257625,100.0,3,,,,-14.221261861942525,0.0,3,,,
AAPL,223.73,-8.721044106766085,0.0,3,,,,-3.993144792697556,33.33333333333333,3,,,,7.502436047106142,100.0,3,,,,-4.497794157156399,0.0,2,,,
AUR,7.28,3.9198208743636442,50.0,4,,,,45.46049793087607,75.0,4,,,,-9.455512441683178,50.0,4,,,,-0.9678632706097368,50.0,4,,,
KDP,32.86,-4.7721306799308305,25.0,4,-3.5207381131880378,0.0,2.0,11.317290208740616,75.0,4,0.9850746268656563,100.0,1.0,1.7729949175903759,50.0,4,-2.867277564292048,0.0,1.0,1.5393392282834872,75.0,4,1.1564211807668867,100.0,1.0
SLB,33.965,11.594732234072502,100.0,4,6.129700917974534,100.0,1.0,16.675640285626958,100.0,4,-2.064732142857151,0.0,1.0,-6.067846947229805,25.0,4,-3.3618233618233573,0.0,1.0,-28.966934678163593,0.0,4,-1.739386792452835,0.0,1.0
PBR,12.055,-5.5161186017718915,25.0,4,7.857142857142874,100.0,1.0,17.12088482674783,75.0,4,,,,-0.41154081714600554,50.0,4,,,,-24.599245251613013,25.0,4,,,
AMCR,9.175,14.911168043680911,100.0,4,1.9331670419522995,100.0,2.0,-2.302339072358839,50.0,4,1.3982811032213105,100.0,2.0,2.049180685653984,75.0,4,-2.857142857142858,0.0,1.0,-15.15986443826951,0.0,4,-1.6339869281045805,0.0,1.0
KHC,26.725,1.6695412158981515,50.0,4,-1.573426573426584,0.0,1.0,-0.6907159585588518,75.0,4,-0.9058614564831258,0.0,1.0,0.051476701263819535,50.0,4,-3.7999641512815874,0.0,1.0,-9.811845520202612,0.0,4,,,
CMCSA,34.2399,3.488988908659718,75.0,4,0.6960556844547661,100.0,1.0,4.12326721919658,50.0,4,2.0449308755760454,100.0,1.0,6.183040595238509,75.0,4,-1.3830087496471966,0.0,1.0,-20.251867158090498,25.0,4,,,
DOC,17.115,-0.025345058658765574,50.0,4,-1.115952857989877,0.0,2.0,3.1987095188020787,25.0,4,0.3542472102309624,50.0,2.0,-2.476784228046025,50.0,4,-1.975169300225721,0.0,1.0,-11.816563427081228,25.0,4,0.2590673575129321,100.0,1.0
ET,17.855,-7.569184922444228,25.0,4,7.60802469135804,100.0,1.0,16.86210960470933,75.0,4,,,,-7.798361209005544,25.0,4,,,,-15.845777434707497,50.0,4,,,
PATH,11.935,4.714621064780133,50.0,4,,,,-7.789529625739888,50.0,4,,,,8.372137694142134,75.0,4,,,,-12.747832160991857,33.33333333333333,3,,,
LKQ,37.43,12.120490007441976,75.0,4,4.259085992607781,50.0,2.0,6.666251520232325,50.0,4,-2.41995566918205,50.0,2.0,-9.45603241623213,25.0,4,-5.219715694381044,0.0,2.0,-4.69494574753292,50.0,4,-1.7874632713026584,0.0,1.0
BITO,19.3799,-19.852138724811653,0.0,3,,,,17.03233403043265,66.66666666666666,3,,,,-0.6684139403381861,33.33333333333333,3,,,,-15.449277341221546,0.0,2,,,
MRK,76.375,-12.706392212688279,50.0,4,-2.9436602726504946,0.0,1.0,-10.062041812581846,0.0,4,-4.002486016159102,0.0,1.0,16.076227877395443,75.0,4,0.45319176485820734,100.0,1.0,-6.212015378306646,50.0,4,,,
TEVA,16.58,-15.92668429247066,0.0,4,9.545593168648981,100.0,1.0,17.341981291612374,50.0,4,-5.289532293986632,0.0,1.0,10.34143763839921,50.0,4,,,,-24.768753629749853,25.0,4,,,
CCCS,9.345,-8.675951361325296,25.0,4,0.5286060517038615,50.0,2.0,-0.29148174668556237,50.0,4,-0.7322120328244086,50.0,2.0,-2.187956183935025,50.0,4,-0.5355313916334037,50.0,2.0,-8.397372675407944,25.0,4,0.9664582148948275,100.0,1.0
VTRS,8.975,-3.331826063710519,50.0,4,5.626390565679862,100.0,2.0,-4.821869029277259,25.0,4,-0.23144651219795254,50.0,2.0,15.584661357397444,100.0,4,-1.8803418803418959,0.0,1.0,-27.880869267436847,25.0,4,0.9872241579558683,100.0,1.0
HPQ,24.935,1.3716161066686938,50.0,4,10.027967496312208,100.0,2.0,0.2752061100382841,50.0,4,3.006720905553606,100.0,1.0,9.95275563585114,100.0,4,-2.67857142857143,0.0,1.0,-28.3687223933046,25.0,4,-12.13832039520113,0.0,1.0
BMY,48.23,-11.270544941051408,25.0,4,-3.706293706293695,0.0,1.0,-8.502905288810926,25.0,4,-2.023031434796141,0.0,1.0,13.723763727384686,75.0,4,-0.7200338839474685,0.0,1.0,-4.394288380201427,50.0,4,4.074232081911244,100.0,1.0
WU,8.575,10.911713855320482,75.0,4,2.562941859676382,50.0,2.0,-5.617296263729077,50.0,4,-8.704566283387361,0.0,2.0,0.537951339465681,25.0,4,-4.006085192697761,0.0,1.0,-12.577466900285616,25.0,4,-1.9017432646592725,0.0,1.0
LABD,9.84,-9.90652709696942,50.0,4,,,,-11.142058442410185,25.0,4,,,,-24.82856773994819,25.0,4,,,,51.51932906504666,75.0,4,,,
TSLS,11.305,21.15352710893015,75.0,4,,,,-14.309739738009641,0.0,3,,,,-4.221273612520083,66.66666666666666,3,,,,28.93271168283529,100.0,3,,,
PYPL,68.53,-14.745205723120314,25.0,4,,,,6.2073653797756645,75.0,4,,,,5.538697259310665,75.0,4,,,,-12.94069762997493,25.0,4,,,
HAL,20.53,8.377131596635712,75.0,4,6.9486404833836835,100.0,1.0,13.92567600352006,100.0,4,-1.7890772128060228,0.0,1.0,-11.588412196409204,50.0,4,-4.266538830297217,0.0,1.0,-33.6420015205069,0.0,4,0.1752628943415102,100.0,1.0
